Name,Rating,Number of Reviews,Price,Link
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,"15,926",529,https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-10
,,,529,
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,4.5 out of 5 stars,591,"5,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2NjE0ODg4MDE3NTUxMDkwOjE2ODUwOTAyMjQ6c3BfbXRmOjIwMTE3Nzk1ODcxNjk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090224%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
,,,"5,999",
Red Lemon BANGE Multifunctional Waterproof Anti-Thief Sling Bag with USB Charging (Camo),4.3 out of 5 stars,145,"1,899",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2NjE0ODg4MDE3NTUxMDkwOjE2ODUwOTAyMjQ6c3BfbXRmOjIwMTE2ODc5MTczODk4OjowOjo&url=%2FRed-Lemon-Multifunctional-Waterproof-Anti-Thief%2Fdp%2FB0B12VQFVC%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090224%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
,,,"1,899",
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,"2,765",749,https://www.amazon.in//Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-13
,,,749,
,,,,
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,4.3 out of 5 stars,"5,925",899,https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-14
,,,899,
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),4.0 out of 5 stars,"19,029",248,https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-15
,,,248,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",4.3 out of 5 stars,194,"1,299",https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-16
,,,"1,299",
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",3.8 out of 5 stars,"2,034",599,https://www.amazon.in//TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-17
,,,599,
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,4.5 out of 5 stars,"7,037","1,999",https://www.amazon.in//Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-18
,,,"1,999",
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,3.9 out of 5 stars,"9,506",899,https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-19
,,,899,
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,4.1 out of 5 stars,"1,275",698,https://www.amazon.in//Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685090224&sprefix=ba%2Caps%2C283&sr=8-20
,,,698,
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",4.5 out of 5 stars,51,"7,499",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2NjE0ODg4MDE3NTUxMDkwOjE2ODUwOTAyMjQ6c3BfYnRmOjIwMTEwMTgxNTEwOTk4OjowOjo&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090224%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
,,,"7,499",
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,4.4 out of 5 stars,73,"1,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2NjE0ODg4MDE3NTUxMDkwOjE2ODUwOTAyMjQ6c3BfYnRmOjIwMTE2ODgyMTgxMDk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090224%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
,,,"1,999",
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",4.7 out of 5 stars,51,"1,900",
